h1;h2;h3;h4;h5;h6;h7;h8
0.584249;0.559871;0.536844;0.51083;0.483846;0.460281;0.433767;0.411088
0.584765;0.55971;0.536328;0.511002;0.483683;0.460109;0.434119;0.410924
0.585293;0.559355;0.535812;0.511184;0.48333;0.459928;0.434309;0.41058
0.585625;0.559194;0.535296;0.511184;0.483158;0.459937;0.434128;0.410245
0.586164;0.558839;0.534791;0.511194;0.482976;0.459765;0.434137;0.40972
0.586336;0.558656;0.534092;0.511012;0.482986;0.459593;0.433956;0.409385
0.58652;0.558656;0.533587;0.511032;0.482804;0.459421;0.433965;0.408869
0.586532;0.558645;0.532877;0.510688;0.482804;0.45924;0.433793;0.408353
0.58636;0.558817;0.532533;0.510344;0.482814;0.459249;0.433612;0.407828
0.586199;0.558989;0.532189;0.51;0.482632;0.459068;0.433621;0.407484
0.585867;0.559161;0.531824;0.509656;0.482622;0.459068;0.43344;0.407148
0.585351;0.559333;0.531824;0.509323;0.482794;0.459068;0.43344;0.406624
0.584835;0.559505;0.531813;0.508796;0.482966;0.459068;0.43344;0.40628
0.584319;0.559666;0.531975;0.508452;0.483138;0.459059;0.43344;0.405831
0.583791;0.560021;0.532319;0.508108;0.483301;0.45924;0.43344;0.40782
0.583436;0.560182;0.532641;0.507764;0.483654;0.459231;0.43344;0.40764
0.583264;0.560537;0.53334;0.50741;0.483826;0.459403;0.433431;0.40764
0.583068;0.56072;0.533845;0.507238;0.483998;0.459575;0.433612;0.40764
0.58324;0.560709;0.534544;0.507056;0.484161;0.459747;0.433603;0.407632
0.583401;0.560903;0.535049;0.507056;0.484514;0.459919;0.433775;0.407804
0.583733;0.560731;0.535748;0.507046;0.484686;0.460091;0.433947;0.408082
0.584249;0.560559;0.536275;0.507208;0.484858;0.460263;0.434128;0.405904
0.584765;0.560376;0.536619;0.507562;0.48504;0.460444;0.434119;0.40624
0.585281;0.560387;0.536963;0.507724;0.48504;0.460435;0.4343;0.406658
0.585797;0.560215;0.537328;0.508068;0.48504;0.460616;0.4343;0.409434
0.586325;0.560054;0.537328;0.508401;0.48504;0.460607;0.434309;0.407796
0.58668;0.559699;0.537339;0.508928;0.48504;0.460788;0.434128;0.408132
