Configuration 3:  

(using maxima)

6 - 109 	 T:  0.8780582524271845
6 - 110 	 T:  0.8780769230769232
6 - 111 	 T:  0.8778571428571428
6 - 112 	 T:  0.8779245283018868
6 - 113 	 T:  0.8779906542056075
6 - 114 	 T:  0.878101851851852
7 - 8 	 T:  0.8799999999999999
7 - 9 	 T:  0.8825000000000003
7 - 10 	 T:  0.8800000000000002
7 - 11 	 T:  0.8787500000000001
7 - 12 	 T:  0.8789999999999999
7 - 13 	 T:  0.8783333333333333
7 - 14 	 T:  0.8785714285714287
7 - 15 	 T:  0.879375
7 - 16 	 T:  0.8794444444444446
7 - 17 	 T:  0.8785000000000001
7 - 18 	 T:  0.8786363636363638
7 - 19 	 T:  0.8791666666666668
7 - 20 	 T:  0.8788461538461539
7 - 21 	 T:  0.8789285714285714
7 - 22 	 T:  0.8783333333333334
7 - 23 	 T:  0.8790625000000001
7 - 24 	 T:  0.8788235294117648
7 - 25 	 T:  0.8791666666666667
7 - 26 	 T:  0.8789473684210526
7 - 27 	 T:  0.8787499999999999
7 - 28 	 T:  0.8788095238095239
7 - 29 	 T:  0.8784090909090909
7 - 30 	 T:  0.8789130434782608
7 - 31 	 T:  0.87875
7 - 32 	 T:  0.8787999999999999
7 - 33 	 T:  0.8786538461538461
7 - 34 	 T:  0.8787037037037038
7 - 35 	 T:  0.8783928571428571
7 - 36 	 T:  0.8786206896551725
7 - 37 	 T:  0.8788333333333334
7 - 38 	 T:  0.8785483870967742
7 - 39 	 T:  0.8785937500000001
7 - 40 	 T:  0.8786363636363635
7 - 41 	 T:  0.8786764705882353
7 - 42 	 T:  0.8785714285714286
7 - 43 	 T:  0.8795833333333333
7 - 44 	 T:  0.8786486486486486
7 - 45 	 T:  0.8782894736842105
7 - 46 	 T:  0.8784615384615384
7 - 47 	 T:  0.877125
7 - 48 	 T:  0.8782926829268293
7 - 49 	 T:  0.878452380952381
7 - 50 	 T:  0.8783720930232559
7 - 51 	 T:  0.8776136363636364
7 - 52 	 T:  0.8788888888888888
7 - 53 	 T:  0.8784782608695653
7 - 54 	 T:  0.8785106382978723
7 - 55 	 T:  0.8778125
